task_id,client,project_id,client_tier,team,task_type,seniority,task_complexity_score,brief_quality_score,deadline_pressure,scope_change_flag,pricing_model,created_at,delivered_at,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,created_by,updated_at,task_status,workflow_stage,jira_ticket,legacy_ai_flag,content_version,actual_days,profit_margin,efficiency_ratio,rework_ratio,cost_per_hour,revenue_per_hour,total_effort,profit_per_hour,delivery_days_actual,delivery_speed,ai_usage_bin
T00000,Client_F,P038,mid,Content,report,junior,2,3.0,high,0,hourly,2025-11-20,2025-11-25,10.0,0,7.63,5.14,0.75,True,1,1,2.1,69.93,498.11,346.17,151.94,user_096,2025-11-28,review,finalized,JIRA-49014,true,v1,5,0.305033024833872,0.673656618610747,0.27522935779816515,45.36959370904325,65.28309305373526,9.73,15.615621788283658,5,0.5,high
T00001,Client_H,P028,low,Media,release,junior,1,2.0,medium,0,fixed,2026-01-24,2026-01-26,7.0,0,9.52,8.22,0.12,False,1,1,4.48,82.79,847.01,343.18,503.83,user_058,2026-01-26,delivered,client_review,JIRA-84793,false,v1,2,0.5948335911028205,0.8634453781512607,0.4705882352941177,36.04831932773109,88.97163865546219,14.0,35.987857142857145,2,0.2857142857142857,low
T00002,Client_D,P009,low,Design,dev,junior,3,4.0,medium,0,fixed,2025-09-16,2025-09-23,5.0,1,8.45,6.15,0.37,True,2,0,2.71,76.4,1374.07,365.02,1009.05,user_074,2025-09-17,in_progress,qa,JIRA-42485,true,v2,7,0.7343512339254914,0.727810650887574,0.3207100591715977,43.19763313609467,162.61183431952662,11.16,90.41666666666666,7,1.4,low_medium
T00003,Client_E,P023,mid,Content,design,mid,3,2.0,low,0,hourly,2025-11-06,2025-11-09,3.0,0,28.35,24.22,0.07,False,4,1,0.0,65.23107688517356,2379.11,1514.73,864.3800000000001,user_011,2025-11-12,in_progress,briefing,JIRA-53111,false,v1,3,0.36332073758674466,0.8543209876543209,0.0,53.42962962962963,83.91922398589065,28.35,30.489594356261026,3,1.0,low
T00004,Client_C,P014,low,Design,article,senior,2,5.0,low,0,fixed,2026-05-02,2026-05-06,7.0,0,5.93,4.44,0.2,True,2,2,0.84,70.09390090134653,709.95,335.27,374.68000000000006,user_007,2026-05-09,review,execution,JIRA-86006,true,v2,4,0.5277554757377281,0.748735244519393,0.14165261382799327,56.53794266441821,119.72175379426646,6.77,55.34416543574595,4,0.5714285714285714,low_medium
T00005,Client_G,P011,mid,Content,ticket,junior,1,2.0,medium,0,hourly,2026-05-10,2026-05-12,2.0,0,5.72,5.03,0.43,True,3,0,3.57,58.52,412.26,227.78,184.48,user_119,2026-05-13,in_progress,qa,JIRA-60375,true,final,2,0.44748459709891814,0.8793706293706295,0.6241258741258742,39.82167832167833,72.07342657342657,9.29,19.857911733046286,2,1.0,medium_high
T00006,Client_D,P011,high,SEO,report,junior,3,2.0,medium,0,hourly,2025-08-27,2025-08-30,3.0,0,13.83,11.5,0.58,True,3,2,4.51,56.55,1523.0,744.12,778.88,user_052,2025-08-31,review,qa,JIRA-11083,false,v1,3,0.5114116874589626,0.8315256688358641,0.3261026753434562,53.80477223427332,110.1229211858279,18.34,42.468920392584515,3,1.0,medium_high
T00007,Client_G,P014,high,Media,article,junior,4,4.0,low,0,fixed,2026-03-27,2026-03-27,7.0,0,8.83,5.19,0.27,True,5,0,3.05,89.39,1540.97,311.76,1229.21,user_051,2026-03-31,delivered,qa,JIRA-78764,false,v1,0,0.7976858731837738,0.5877689694224236,0.3454133635334088,35.306908267270664,174.51528878822197,11.879999999999999,103.46885521885523,0,0.0,low_medium
T00008,Client_G,P053,low,Design,ad,mid,3,3.0,high,0,value_based,2025-09-10,2025-09-17,3.0,1,8.8,7.39,0.4,True,1,0,1.86,93.27,1040.82,568.06,472.76,user_064,2025-09-14,review,qa,JIRA-77681,false,v1,7,0.454218789031725,0.8397727272727271,0.21136363636363636,64.55227272727272,118.27499999999998,10.66,44.348968105065666,7,2.3333333333333335,medium_high
T00009,Client_B,P054,mid,Media,ticket,junior,2,4.0,medium,0,hourly,2026-04-08,2026-04-10,2.0,0,12.67,9.38,0.4,True,2,1,0.87,77.21,283.23,516.59,-233.36,user_083,2026-04-16,in_progress,qa,,false,final,2,-0.8239240193482329,0.7403314917127073,0.06866614048934491,40.77269139700079,22.354380426203633,13.54,-17.23485967503693,2,1.0,medium_high
